ID,Start_time,End_time,Start_time_String,End_time_string,Item,Price,Normal Price,Diff.,Quantity,Quantity (in kg),Price per kg,Normal Price per kg
980,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Bottle Gourd - Long (Lauki),29,30,1,700 g,0.7,41.42857142857143,42.85714285714286
835,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Cucumber - Hybrid (Kheera),20,21,1,700 g,0.7,28.571428571428573,30.000000000000004
871,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Sponge Gourd (Tori),28,29,1,600 g,0.6,46.66666666666667,48.333333333333336
1007,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Apple - Royal Gala (Imported),298,310,12,950 g,0.95,313.6842105263158,326.3157894736842
826,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Carrot - Orange (Gajar),24,25,1,500 g,0.5,48.0,50.0
832,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Bitter Gourd (Karela),29,30,1,500 g,0.5,58.0,60.0
46,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Sweet Corn Cob (Bhutta),22,25,3,1 pc,1.0,22.0,25.0
1503,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Farm Tale Cow Milk,33,36,3,500 ml,0.5,66.0,72.0
1691,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Farm Tale Buffalo Milk,42,45,3,500 ml,0.5,84.0,90.0
961,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Pomegranate - Medium (Anaar),127,129,2,700 g,0.7,181.42857142857144,184.2857142857143
5143,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Sweet Lime - Greenish Yellow (Medium),43,44,1,600 g,0.6,71.66666666666667,73.33333333333334
7286,1691893862,1691911800,2023-08-13 08:01:02,2023-08-13 13:00:00,Harvest Gold Atta Bread,43,43,0,450 g,0.45,95.55555555555556,95.55555555555556
